Ort,keyCity,region,district,a_district,schulen_anzahl,glasfaser,anteil_glasfaser,breitband,andere,netz_alle,auswertbar,antwort
Schwelm,5954024,Ruhrgebiet,Ennepe-Ruhr-Kreis,Arnsberg,6,1,16.666666666666664,5,0,6,ja,ja
Schwerte,5978028,Ruhrgebiet,Unna,Arnsberg,12,0,0.0,12,0,12,ja,ja
Selm,5978032,Ruhrgebiet,Unna,Arnsberg,5,2,40.0,3,0,5,ja,ja
Senden,5558044,Westfalen,Coesfeld,Münster,7,7,100.0,0,0,7,ja,ja
Sendenhorst,5570040,Westfalen,Warendorf,Münster,3,1,33.33333333333333,2,0,3,ja,ja
Siegen,5970040,Westfalen,Siegen-Wittgenstein,Arnsberg,30,0,0.0,30,0,30,ja,ja
Simmerath,5334028,Rheinland,Städteregion Aachen,Köln,5,2,40.0,3,0,5,ja,ja
Soest,5974040,Westfalen,Soest,Arnsberg,16,0,0.0,14,0,14,ja,ja
Solingen,5122000,Rheinland,Solingen,Düsseldorf,37,1,2.7027027027027026,36,0,37,ja,ja
Sonsbeck,5170040,Rheinland,Wesel,Düsseldorf,1,1,100.0,0,0,1,ja,ja
Stadtlohn,5554056,Westfalen,Borken,Münster,7,3,42.857142857142854,4,0,7,ja,ja
Steinfurt,5566084,Westfalen,Steinfurt,Münster,11,4000,nicht auswertbar,0,0,4000,nein,ja
Stemwede,5770044,Westfalen,Minden-Lübbecke,Detmold,4,1,25.0,3,0,4,ja,ja
Straelen,5154052,Rheinland,Kleve,Düsseldorf,3,2,66.66666666666666,7,0,9,ja,ja
Südlohn,5554060,Westfalen,Borken,Münster,2,2,100.0,0,0,2,ja,ja
Sundern (Sauerland),5958044,Westfalen,Hochsauerlandkreis,Arnsberg,8,6,75.0,3,0,9,ja,ja
Swisttal,5382064,Rheinland,Rhein-Sieg-Kreis,Köln,4,1,25.0,3,0,4,ja,ja
Tecklenburg,5566088,Westfalen,Steinfurt,Münster,7,0,0.0,7,0,7,ja,ja
Titz,5358056,Rheinland,Düren,Köln,0,0,nan,0,0,0,ja,ja
Tönisvorst,5166028,Rheinland,Viersen,Düsseldorf,6,3,50.0,3,0,6,ja,ja
Troisdorf,5382068,Rheinland,Rhein-Sieg-Kreis,Köln,19,0,0.0,19,0,19,ja,ja
Uedem,5154056,Rheinland,Kleve,Düsseldorf,1,1,100.0,0,0,1,ja,ja
Unna,5978036,Ruhrgebiet,Unna,Arnsberg,17,17,100.0,0,0,17,ja,ja
Velbert,5158032,Rheinland,Mettmann,Düsseldorf,21,17,80.95238095238095,4,0,21,ja,ja
Velen,5554064,Westfalen,Borken,Münster,3,3,100.0,0,0,3,ja,ja
Vettweiß,5358060,Rheinland,Düren,Köln,1,1,100.0,0,0,1,ja,ja
Viersen,5166032,Rheinland,Viersen,Düsseldorf,16,0,0.0,13,3,16,ja,ja
Vlotho,5758036,Westfalen,Herford,Detmold,5,0,0.0,2,3,5,ja,ja
Voerde (Niederrhein),5170044,Rheinland,Wesel,Düsseldorf,7,2,28.57142857142857,5,0,7,ja,ja
Vreden,5554068,Westfalen,Borken,Münster,6,6,100.0,0,0,6,ja,ja
Wachtberg,5382072,Rheinland,Rhein-Sieg-Kreis,Köln,6,0,0.0,6,0,6,ja,ja
